PLAYER,TEAM,PLAYER,TEAM,Minute,Partial Possessions (portion of team possessions while player was on court),% of Time Playing Defense,% of Time Playing Offense,% of Time Both Players Were On the Court Together,Player Points Scored,Team Points Scored,Assists,Turnovers,Blocks,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3-Point Shots Made,3-Point Shots Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Shooting Fouls Drawn (fouls committed against the player while shooting)
Jaylon Tyson,CLE,Jordan Clarkson,NYK,00:17,1.8,34,9.3,34,2,4,0,0,0,1,1,100,0,0,0,0,0,0
Jaylon Tyson,CLE,Josh Hart,NYK,00:49,5.2,6.1,27.2,30.3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Jaylon Tyson,CLE,Miles McBride,NYK,00:21,1.2,5.6,11.5,20.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jaylon Tyson,CLE,Mitchell Robinson,NYK,00:09,0.7,3.8,5,18.1,3,5,0,0,0,1,1,100,0,0,0,1,1,1
Jaylon Tyson,CLE,Landry Shamet,NYK,00:34,2.6,5.4,18.9,33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylon Tyson,CLE,Karl-Anthony Towns,NYK,00:02,0.3,0.3,1.1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Hart,NYK,Jarrett Allen,CLE,04:42,21,34,34.8,50.8,3,16,1,1,0,1,4,25,1,3,33.3,0,0,0
Josh Hart,NYK,James Harden,CLE,03:17,16.8,20.3,24.4,30.1,4,24,1,2,0,2,3,66.7,0,0,0,0,0,0
Josh Hart,NYK,Sam Merrill,CLE,00:25,3.3,4.6,3,5.9,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Josh Hart,NYK,Donovan Mitchell,CLE,01:01,6.3,6.9,7.6,9.7,3,15,0,0,0,1,1,100,1,1,100,0,0,0
Josh Hart,NYK,Evan Mobley,CLE,01:25,7.3,9.9,10.5,13.1,2,8,0,0,0,1,3,33.3,0,2,0,0,0,0
Josh Hart,NYK,Dennis Schröder,CLE,00:18,0.8,8.2,2.2,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Hart,NYK,Max Strus,CLE,01:06,5.6,9,8.1,15,0,5,1,0,0,0,1,0,0,1,0,0,0,0
Josh Hart,NYK,Jaylon Tyson,CLE,00:22,2.5,10.5,2.7,12.8,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Josh Hart,NYK,Dean Wade,CLE,00:27,2.5,6.9,3.4,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OG Anunoby,NYK,Jarrett Allen,CLE,01:04,7.7,7.7,8.9,9.8,5,13,2,1,0,2,3,66.7,1,1,100,0,0,0
OG Anunoby,NYK,James Harden,CLE,04:04,22.1,25,33.7,33.7,3,20,0,1,0,1,2,50,1,2,50,0,0,0
OG Anunoby,NYK,Sam Merrill,CLE,00:24,3.2,4.5,3.3,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG Anunoby,NYK,Donovan Mitchell,CLE,01:48,7.4,12.2,14.9,17.7,4,9,0,0,0,2,2,100,0,0,0,0,0,0
OG Anunoby,NYK,Evan Mobley,CLE,02:52,14.4,20,23.7,29.2,3,20,0,0,1,1,2,50,1,1,100,0,0,0
